,City,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Latitude,Longditude,Country,Date_Time
86,grand gaube,82.0,73,73,7.0,-20.01,57.66,MU,1588574614
87,zaranj,86.0,35,0,13.87,30.97,61.88,AF,1588574912
88,east london,60.8,87,20,6.93,-33.02,27.91,ZA,1588574912
89,lavrentiya,27.23,92,0,4.21,65.58,-171.0,RU,1588574912
90,madinat sittah uktubar,82.4,30,0,3.36,29.82,31.05,EG,1588574912
91,svetlogorsk,59.63,76,98,10.83,52.63,29.73,BY,1588574912
92,camacha,64.4,68,20,14.99,33.08,-16.33,PT,1588574912
93,alofi,75.2,94,3,1.12,-19.06,-169.92,NU,1588574772
94,poum,76.23,85,100,20.78,-20.23,164.02,NC,1588574913
95,sept-iles,42.8,56,90,12.75,50.2,-66.38,CA,1588574913
96,klaksvik,37.4,69,100,2.24,62.23,-6.59,FO,1588574913
97,santa maria del oro,62.46,39,12,3.58,25.93,-105.37,MX,1588574913
98,harper,78.19,89,100,7.9,4.38,-7.72,LR,1588574914
99,gernsbach,54.0,93,75,4.7,48.77,8.33,DE,1588574914
100,kumluca,65.68,62,0,4.72,36.37,30.29,TR,1588574914
101,harstad,39.2,86,75,10.29,68.8,16.53,NO,1588574914
102,port elizabeth,60.8,87,95,6.93,-33.92,25.57,ZA,1588574915
103,hirara,84.2,74,40,8.05,24.8,125.28,JP,1588574915
104,meadow lake,71.6,15,1,21.92,34.8,-106.54,US,1588574915
105,riberalta,74.07,75,100,1.41,-10.98,-66.1,BO,1588574915
106,phalaborwa,68.0,77,41,12.75,-23.94,31.14,ZA,1588574916
107,lasa,41.0,86,40,3.0,46.62,10.7,IT,1588574916
108,fort saint james,38.35,56,100,4.72,54.43,-124.25,CA,1588574916
109,vila velha,71.6,68,0,9.17,-20.33,-40.29,BR,1588574655
110,khani,71.6,56,40,16.11,41.96,42.96,GE,1588574916
111,leh,47.64,11,52,7.27,34.17,77.58,IN,1588574886
112,provideniya,35.51,79,0,0.63,64.38,-173.3,RU,1588574917
113,tuatapere,43.95,80,34,5.32,-46.13,167.68,NZ,1588574917
114,prainha,73.85,96,49,2.28,-1.8,-53.48,BR,1588574917
115,namibe,81.07,47,0,1.7,-15.2,12.15,AO,1588574917
116,touros,75.2,100,40,4.7,-5.2,-35.46,BR,1588574917
117,itarema,76.68,89,100,7.81,-2.92,-39.92,BR,1588574918
118,atuona,81.5,74,1,19.15,-9.8,-139.03,PF,1588574918
119,naze,82.4,69,20,11.41,28.37,129.48,JP,1588574918
120,cidreira,62.58,81,55,12.17,-30.18,-50.21,BR,1588574918
121,fortuna,46.0,93,1,4.7,40.6,-124.16,US,1588574918
122,chililabombwe,69.96,46,0,7.0,-12.36,27.82,ZM,1588574918
123,khatanga,14.54,94,94,12.62,71.97,102.5,RU,1588574919
124,sovetskiy,45.27,51,12,5.19,61.36,63.58,RU,1588574919
125,san francisco,53.6,71,1,14.99,37.77,-122.42,US,1588574760
126,jackson,50.0,46,1,8.05,42.42,-122.83,US,1588574919
127,srednekolymsk,31.24,96,100,9.04,67.45,153.68,RU,1588574919
128,margate,53.01,80,85,11.9,51.38,1.39,GB,1588574919
129,neiafu,80.6,83,20,11.3,-18.65,-173.98,TO,1588574920
130,narsaq,33.8,95,100,13.87,60.92,-46.05,GL,1588574920
131,tual,84.69,75,59,8.95,-5.67,132.75,ID,1588574920
132,tiarei,80.6,78,20,4.7,-17.53,-149.33,PF,1588574920
133,vyartsilya,50.14,74,100,6.11,62.18,30.69,RU,1588574920
134,airai,68.65,58,79,3.76,-8.93,125.41,TL,1588574920
135,karakol,59.18,31,27,7.47,42.49,78.39,KG,1588574921
136,fort-shevchenko,69.73,55,0,12.8,44.51,50.26,KZ,1588574921
137,axim,79.95,84,74,4.43,4.87,-2.24,GH,1588574921
138,phulabani,101.93,17,55,6.93,20.47,84.23,IN,1588574921
139,kaitangata,46.0,69,76,4.0,-46.28,169.85,NZ,1588574921
140,mezen,45.41,95,100,7.63,65.85,44.24,RU,1588574921
141,san pedro,98.6,50,20,10.29,14.35,121.02,PH,1588574921
142,puerto escondido,81.16,67,0,5.32,15.85,-97.07,MX,1588574767
143,dingle,92.82,54,84,11.14,11.0,122.67,PH,1588574922
144,nyrob,49.98,56,1,7.99,60.73,56.72,RU,1588574922
145,kimbe,82.72,82,100,1.43,-5.55,150.14,PG,1588574922
146,ghanzi,69.91,17,0,4.41,-21.57,21.78,BW,1588574922
147,jalu,71.35,55,0,14.81,29.03,21.55,LY,1588574922
148,pedernales,78.19,67,33,3.51,18.04,-71.74,DO,1588574922
149,aldan,38.26,53,0,1.88,58.6,125.39,RU,1588574922
150,fontem,73.69,68,94,0.51,5.47,9.88,CM,1588574923
151,yumen,79.93,13,0,19.28,40.28,97.2,CN,1588574923
152,jamestown,48.99,70,40,6.93,42.1,-79.24,US,1588574923
153,zalari,65.82,30,90,10.36,53.56,102.51,RU,1588574923
154,chokurdakh,18.03,95,80,5.37,70.63,147.92,RU,1588574923
155,westport,62.6,63,90,9.17,41.14,-73.36,US,1588574629
156,leningradskiy,25.07,88,0,1.66,69.38,178.42,RU,1588574923
157,okha,35.24,85,97,11.88,53.57,142.95,RU,1588574924
158,rivadavia,53.6,76,91,6.93,-33.19,-68.46,AR,1588574924
159,ancud,51.01,100,100,5.82,-41.87,-73.82,CL,1588574924
160,avarua,75.2,88,0,3.36,-21.21,-159.78,CK,1588574924
161,shache,81.46,10,69,10.94,38.42,77.24,CN,1588574924
162,muscat,93.2,52,0,12.75,23.61,58.59,OM,1588574924
163,baykit,47.75,76,100,2.13,61.67,96.37,RU,1588574925
164,souillac,80.6,74,40,13.87,-20.52,57.52,MU,1588574925
165,arlit,92.75,13,94,1.9,18.74,7.39,NE,1588574925
166,qaanaaq,16.59,93,100,6.42,77.48,-69.36,GL,1588574925
167,trairi,74.39,95,100,4.54,-3.28,-39.27,BR,1588574925
168,bemidji,33.01,76,1,4.7,47.47,-94.88,US,1588574925
169,port hawkesbury,36.0,74,75,5.82,45.62,-61.35,CA,1588574926
170,gat,71.01,58,0,4.79,31.61,34.76,IL,1588574926
171,porto nacional,77.0,88,44,5.82,-10.71,-48.42,BR,1588574662
172,zeya,51.76,32,100,6.98,53.75,127.27,RU,1588574926
173,rudsar,84.2,69,0,6.93,37.14,50.29,IR,1588574926
174,verkhnevilyuysk,45.77,52,6,1.45,63.45,120.32,RU,1588574926
175,amalapuram,91.4,59,40,11.41,16.58,82.02,IN,1588574927
176,longyearbyen,17.6,72,20,2.24,78.22,15.64,SJ,1588574927
177,hwange,76.55,26,70,5.08,-18.37,26.5,ZW,1588574927
178,nong khai,91.4,55,75,4.7,17.88,102.74,TH,1588574927
179,freeport,66.99,72,75,8.05,40.66,-73.58,US,1588574657
180,caravelas,73.92,74,59,8.08,-17.71,-39.25,BR,1588574927
181,coquimbo,55.4,87,100,2.24,-29.95,-71.34,CL,1588574928
182,pisco,66.2,82,97,8.05,-13.7,-76.22,PE,1588574928
183,kieta,83.1,73,92,3.24,-6.22,155.63,PG,1588574928
184,antofagasta,60.8,82,90,2.24,-23.65,-70.4,CL,1588574928
